name,domain,industry,employee_count,location,founded_year,linkedin_url,source
ECFMG,ecfmg.com,,85,"Philadelphia, Pennsylvania",,,manual_import
Moon Juice,moonjuice.com,Health,76,"Los Angeles, California",,,manual_import
NCODA,ncoda.com,Hospital & Health Care,93,"Cazenovia, New York",,,manual_import
North Carolina Healthcare Association,northcarolinahealthcareassociation.com,Hospital & Health Care,66,"Cary, North Carolina",,,manual_import
Greenspoon | B Corp 🌍,greenspoonbcorp.com,Retail,91,"Columbus, Georgia",,,manual_import
Arbor Pharmaceuticals,arborpharmaceuticals.com,Hospital & Health Care,79,"Atlanta, Georgia",,,manual_import
Branch,branch.com,Furniture,59,"New York, New York",,,manual_import
BrüMate,brümate.com,Retail,63,"Denver, Colorado",,,manual_import
National Network of Public Health Institutes,nationalnetworkofpublichealthinstitutes.com,Health,75,"New Orleans, Louisiana",,,manual_import
FusionPKG,fusionpkg.com,Health,67,"Dallas, Texas",,,manual_import
OnMed,onmed.com,Hospital & Health Care,68,"White Plains, New York",,,manual_import
American Association for Physician Leadership®,americanassociationforphysicianleadership.com,Hospital & Health Care,74,"Washington, District of Columbia",,,manual_import
Osso VR,ossovr.com,,94,"San Francisco, California",,,manual_import
Skip Hop,skiphop.com,Retail,94,"New York, New York",,,manual_import
Verastem Oncology,verastemoncology.com,Hospital & Health Care,78,"Needham, Massachusetts",,,manual_import
Topo Designs,topodesigns.com,Retail,100,"Denver, Colorado",,,manual_import
Trina Turk,trinaturk.com,Retail,86,"Alhambra, California",,,manual_import
Blueland,blueland.com,Retail,99,"New York, New York",,,manual_import
Starface World,starfaceworld.com,Cosmetics,63,"New York, New York",,,manual_import
